Prediction,Store,Date
10386.03,7,2015-09-08
9230.769,7,2015-09-09
9509.956,7,2015-09-10
14084.805,7,2015-09-11
9625.749,7,2015-09-12
256.17075,7,2015-09-13
13993.939,7,2015-09-14
15064.568,7,2015-09-15
14820.713,7,2015-09-16
15257.51,7,2015-09-17
3890.8323,8,2015-08-01
200.48138,8,2015-08-02
9593.285,8,2015-08-03
9365.239,8,2015-08-04
9444.62,8,2015-08-05
9492.506,8,2015-08-06
8943.059,8,2015-08-07
4238.1675,8,2015-08-08
345.2623,8,2015-08-09
6790.4897,8,2015-08-10
5947.1836,8,2015-08-11
5626.946,8,2015-08-12
5883.221,8,2015-08-13
6946.4126,8,2015-08-14
5295.783,8,2015-08-15
380.97714,8,2015-08-16
5953.5293,8,2015-08-17
6359.259,8,2015-08-18
6309.521,8,2015-08-19
6067.157,8,2015-08-20
7461.9,8,2015-08-21
4032.9558,8,2015-08-22
380.2199,8,2015-08-23
6907.9224,8,2015-08-24
6776.5723,8,2015-08-25
6048.817,8,2015-08-26
6184.955,8,2015-08-27
7558.028,8,2015-08-28
4748.4277,8,2015-08-29
61.948177,8,2015-08-30
12038.541,8,2015-08-31
13968.783,8,2015-09-01
12134.63,8,2015-09-02
10357.599,8,2015-09-03
15130.517,8,2015-09-04
5671.7056,8,2015-09-05
50.1947,8,2015-09-06
7979.739,8,2015-09-07
7569.9893,8,2015-09-08
7793.996,8,2015-09-09
7604.426,8,2015-09-10
8360.56,8,2015-09-11
6042.134,8,2015-09-12
129.97374,8,2015-09-13
11952.774,8,2015-09-14
13253.526,8,2015-09-15
13132.002,8,2015-09-16
12443.025,8,2015-09-17
6626.463,9,2015-08-01
30.781487,9,2015-08-02
10714.253,9,2015-08-03
10486.017,9,2015-08-04
9617.976,9,2015-08-05
9098.363,9,2015-08-06
9378.902,9,2015-08-07
6913.1143,9,2015-08-08
428.15646,9,2015-08-09
8523.246,9,2015-08-10
7303.567,9,2015-08-11
6324.063,9,2015-08-12
6705.8306,9,2015-08-13
8352.972,9,2015-08-14
7094.357,9,2015-08-15
451.4839,9,2015-08-16
6875.7095,9,2015-08-17
8237.311,9,2015-08-18
7358.4165,9,2015-08-19
5879.384,9,2015-08-20
8104.684,9,2015-08-21
7362.625,9,2015-08-22
336.5923,9,2015-08-23
7817.865,9,2015-08-24
8011.336,9,2015-08-25
6315.0312,9,2015-08-26
6382.717,9,2015-08-27
8746.245,9,2015-08-28
5983.3125,9,2015-08-29
571.2392,9,2015-08-30
13119.048,9,2015-08-31
14133.3955,9,2015-09-01
12100.21,9,2015-09-02
10993.12,9,2015-09-03
15326.326,9,2015-09-04
8203.764,9,2015-09-05
224.77867,9,2015-09-06
8712.115,9,2015-09-07
7322.313,9,2015-09-08
6333.5815,9,2015-09-09
7605.285,9,2015-09-10
9926.592,9,2015-09-11
8411.048,9,2015-09-12
583.74274,9,2015-09-13
12573.549,9,2015-09-14
13339.569,9,2015-09-15
12421.182,9,2015-09-16
11968.683,9,2015-09-17
5513.0537,10,2015-08-01
71.722885,10,2015-08-02
7721.6733,10,2015-08-03
7555.073,10,2015-08-04
7244.1035,10,2015-08-05
7616.6377,10,2015-08-06
8523.177,10,2015-08-07
5230.2524,10,2015-08-08
330.5926,10,2015-08-09
5395.7725,10,2015-08-10
5228.2256,10,2015-08-11
4697.2876,10,2015-08-12
4841.176,10,2015-08-13
6543.3813,10,2015-08-14
6151.7593,10,2015-08-15
352.64288,10,2015-08-16
5466.8125,10,2015-08-17
5174.0073,10,2015-08-18
6335.3936,10,2015-08-19
5480.669,10,2015-08-20
6893.6016,10,2015-08-21
5325.224,10,2015-08-22
332.39893,10,2015-08-23
5831.986,10,2015-08-24
6011.334,10,2015-08-25
6609.906,10,2015-08-26
5391.7764,10,2015-08-27
7091.361,10,2015-08-28
4790.573,10,2015-08-29
6.6296163,10,2015-08-30
11959.475,10,2015-08-31
11985.359,10,2015-09-01
11045.142,10,2015-09-02
11022.057,10,2015-09-03
14606.888,10,2015-09-04
6834.796,10,2015-09-05
18.71745,10,2015-09-06
4721.972,10,2015-09-07
6216.6123,10,2015-09-08
4452.0415,10,2015-09-09
4680.3486,10,2015-09-10
8865.215,10,2015-09-11
7029.6514,10,2015-09-12
298.19485,10,2015-09-13
12317.723,10,2015-09-14
12468.246,10,2015-09-15
12188.66,10,2015-09-16
12028.427,10,2015-09-17
5656.4844,11,2015-08-01
185.76456,11,2015-08-02
10507.042,11,2015-08-03
9416.084,11,2015-08-04
10454.958,11,2015-08-05
10245.972,11,2015-08-06
11162.886,11,2015-08-07
6392.069,11,2015-08-08
533.71814,11,2015-08-09
7567.5107,11,2015-08-10
7504.574,11,2015-08-11
7521.9717,11,2015-08-12
6323.7617,11,2015-08-13
8243.588,11,2015-08-14
6737.976,11,2015-08-15
503.1139,11,2015-08-16
6367.625,11,2015-08-17
7458.1504,11,2015-08-18
7727.8223,11,2015-08-19
7064.238,11,2015-08-20
8054.8716,11,2015-08-21
6415.33,11,2015-08-22
504.77032,11,2015-08-23
8057.813,11,2015-08-24
7985.0063,11,2015-08-25
8129.5864,11,2015-08-26
6342.873,11,2015-08-27
7767.2085,11,2015-08-28
4244.741,11,2015-08-29
708.35803,11,2015-08-30
13490.857,11,2015-08-31
12402.395,11,2015-09-01
13131.666,11,2015-09-02
11614.454,11,2015-09-03
15542.0625,11,2015-09-04
7099.5205,11,2015-09-05
372.1565,11,2015-09-06
10284.435,11,2015-09-07
9271.655,11,2015-09-08
9624.644,11,2015-09-09
9054.665,11,2015-09-10
12416.575,11,2015-09-11
7772.481,11,2015-09-12
542.4967,11,2015-09-13
13681.888,11,2015-09-14
13348.753,11,2015-09-15
13727.098,11,2015-09-16
12950.422,11,2015-09-17
6056.708,12,2015-08-01
164.4472,12,2015-08-02
11243.582,12,2015-08-03
10461.775,12,2015-08-04
10444.906,12,2015-08-05
10061.416,12,2015-08-06
10231.63,12,2015-08-07
6263.1533,12,2015-08-08
511.27405,12,2015-08-09
8127.7593,12,2015-08-10
7910.2637,12,2015-08-11
8294.759,12,2015-08-12
6758.8184,12,2015-08-13
8620.478,12,2015-08-14
7678.1772,12,2015-08-15
459.773,12,2015-08-16
6480.189,12,2015-08-17
7355.0615,12,2015-08-18
7245.803,12,2015-08-19
7182.581,12,2015-08-20
9655.524,12,2015-08-21
7288.755,12,2015-08-22
460.12524,12,2015-08-23
7641.7754,12,2015-08-24
7390.9473,12,2015-08-25
6832.161,12,2015-08-26
7062.146,12,2015-08-27
7668.533,12,2015-08-28
5819.053,12,2015-08-29
619.71594,12,2015-08-30
11477.385,12,2015-08-31
11495.614,12,2015-09-01
11348.146,12,2015-09-02
10257.059,12,2015-09-03
14149.182,12,2015-09-04
7119.091,12,2015-09-05
564.5569,12,2015-09-06
10455.63,12,2015-09-07
8756.76,12,2015-09-08
9185.146,12,2015-09-09
9191.213,12,2015-09-10
12043.027,12,2015-09-11
9504.884,12,2015-09-12
649.6993,12,2015-09-13
11878.692,12,2015-09-14
12883.801,12,2015-09-15
12298.54,12,2015-09-16
12702.339,12,2015-09-17
4728.3413,13,2015-08-01
-65.609505,13,2015-08-02
8313.061,13,2015-08-03
7530.7935,13,2015-08-04
7937.532,13,2015-08-05
7977.3584,13,2015-08-06
8639.093,13,2015-08-07
471.92627,13,2015-08-08
385.29468,13,2015-08-09
4271.6196,13,2015-08-10
4135.374,13,2015-08-11
4590.092,13,2015-08-12
4531.0957,13,2015-08-13
5319.485,13,2015-08-14
860.5065,13,2015-08-15
447.9192,13,2015-08-16
5952.338,13,2015-08-17
5503.354,13,2015-08-18
5559.3857,13,2015-08-19
5920.073,13,2015-08-20
6866.0176,13,2015-08-21
6523.141,13,2015-08-22
618.87805,13,2015-08-23
5486.207,13,2015-08-24
5195.729,13,2015-08-25
5271.801,13,2015-08-26
5008.7017,13,2015-08-27
7705.367,13,2015-08-28
5017.472,13,2015-08-29
550.13055,13,2015-08-30
10463.07,13,2015-08-31
8903.569,13,2015-09-01
8743.163,13,2015-09-02
10653.225,13,2015-09-03
13570.28,13,2015-09-04
7232.1597,13,2015-09-05
351.1673,13,2015-09-06
7007.2295,13,2015-09-07
4237.232,13,2015-09-08
8463.106,13,2015-09-09
4720.716,13,2015-09-10
8442.6045,13,2015-09-11
8700.021,13,2015-09-12
468.1748,13,2015-09-13
11509.945,13,2015-09-14
10860.299,13,2015-09-15
10964.327,13,2015-09-16
12112.733,13,2015-09-17
3385.722,14,2015-08-01
204.2552,14,2015-08-02
7632.1064,14,2015-08-03
6914.4463,14,2015-08-04
6675.7803,14,2015-08-05
6578.343,14,2015-08-06
7394.3545,14,2015-08-07
3458.4214,14,2015-08-08
387.3461,14,2015-08-09
4204.0938,14,2015-08-10
3987.9312,14,2015-08-11
4539.1567,14,2015-08-12
4749.207,14,2015-08-13
5740.211,14,2015-08-14
4199.828,14,2015-08-15
497.72845,14,2015-08-16
6144.0327,14,2015-08-17
6891.6064,14,2015-08-18
7326.31,14,2015-08-19
6768.301,14,2015-08-20
8572.029,14,2015-08-21
3718.8303,14,2015-08-22
389.9812,14,2015-08-23
6595.5645,14,2015-08-24
6990.461,14,2015-08-25
6488.9946,14,2015-08-26
6377.9546,14,2015-08-27
7442.716,14,2015-08-28
4608.802,14,2015-08-29
401.69086,14,2015-08-30
12271.662,14,2015-08-31
11708.631,14,2015-09-01
10904.407,14,2015-09-02
10617.842,14,2015-09-03
14922.896,14,2015-09-04
5677.9033,14,2015-09-05
41.114063,14,2015-09-06
6290.268,14,2015-09-07
4803.5776,14,2015-09-08
4983.573,14,2015-09-09
5019.26,14,2015-09-10
9055.734,14,2015-09-11
6131.151,14,2015-09-12
226.19293,14,2015-09-13
13351.246,14,2015-09-14
13032.591,14,2015-09-15
12547.441,14,2015-09-16
13082.25,14,2015-09-17
5873.1313,15,2015-08-01
179.99998,15,2015-08-02
10458.709,15,2015-08-03
9695.499,15,2015-08-04
9768.081,15,2015-08-05
10365.147,15,2015-08-06
10311.908,15,2015-08-07
5915.8076,15,2015-08-08
417.9102,15,2015-08-09
6672.0527,15,2015-08-10
6833.376,15,2015-08-11
6096.985,15,2015-08-12
6182.413,15,2015-08-13
7482.544,15,2015-08-14
6267.8823,15,2015-08-15
507.18896,15,2015-08-16
6373.4473,15,2015-08-17
7531.2026,15,2015-08-18
7068.6353,15,2015-08-19
6183.0425,15,2015-08-20
7813.156,15,2015-08-21
6732.642,15,2015-08-22
406.30692,15,2015-08-23
7412.2676,15,2015-08-24
6977.4536,15,2015-08-25
5754.5366,15,2015-08-26
5980.2007,15,2015-08-27
7172.0312,15,2015-08-28
5821.473,15,2015-08-29
498.17407,15,2015-08-30
12892.441,15,2015-08-31
12466.581,15,2015-09-01
12209.902,15,2015-09-02
11041.049,15,2015-09-03
15360.456,15,2015-09-04
7667.3296,15,2015-09-05
353.77963,15,2015-09-06
8368.635,15,2015-09-07
8284.216,15,2015-09-08
8257.374,15,2015-09-09
8315.941,15,2015-09-10
12771.933,15,2015-09-11
8387.42,15,2015-09-12
440.04254,15,2015-09-13
13618.71,15,2015-09-14
13905.7,15,2015-09-15
13589.556,15,2015-09-16
13800.3545,15,2015-09-17
6062.57,16,2015-08-01
211.12616,16,2015-08-02
12026.439,16,2015-08-03
11964.155,16,2015-08-04
12032.246,16,2015-08-05
11778.515,16,2015-08-06
11559.647,16,2015-08-07
6600.5176,16,2015-08-08
519.76044,16,2015-08-09
9204.134,16,2015-08-10
9224.759,16,2015-08-11
9007.803,16,2015-08-12
8462.357,16,2015-08-13
9999.311,16,2015-08-14
7352.285,16,2015-08-15
493.0826,16,2015-08-16
8512.207,16,2015-08-17
9412.466,16,2015-08-18
7311.7563,16,2015-08-19
7303.878,16,2015-08-20
10029.059,16,2015-08-21
7296.294,16,2015-08-22
378.8868,16,2015-08-23
8777.312,16,2015-08-24
8723.845,16,2015-08-25
8985.133,16,2015-08-26
7877.18,16,2015-08-27
10032.334,16,2015-08-28
6386.7583,16,2015-08-29
209.20439,16,2015-08-30
13408.786,16,2015-08-31
13305.864,16,2015-09-01
12547.505,16,2015-09-02
10275.759,16,2015-09-03
17110.607,16,2015-09-04
8101.416,16,2015-09-05
380.09476,16,2015-09-06
9467.884,16,2015-09-07
9085.04,16,2015-09-08
9535.707,16,2015-09-09
8390.371,16,2015-09-10
11969.668,16,2015-09-11
8760.287,16,2015-09-12
509.02142,16,2015-09-13
13448.427,16,2015-09-14
14686.847,16,2015-09-15
13005.542,16,2015-09-16
14873.338,16,2015-09-17
4645.6777,19,2015-08-01
127.49868,19,2015-08-02
10331.595,19,2015-08-03
10185.463,19,2015-08-04
9491.798,19,2015-08-05
9344.641,19,2015-08-06
9320.186,19,2015-08-07
5213.3613,19,2015-08-08
486.1172,19,2015-08-09
7176.9746,19,2015-08-10
7036.166,19,2015-08-11
6790.9307,19,2015-08-12
6734.3315,19,2015-08-13
7672.4,19,2015-08-14
6444.202,19,2015-08-15
496.26962,19,2015-08-16
5947.177,19,2015-08-17
7172.9946,19,2015-08-18
7021.8105,19,2015-08-19
6709.369,19,2015-08-20
8363.659,19,2015-08-21
4188.7905,19,2015-08-22
435.64413,19,2015-08-23
6965.5703,19,2015-08-24
6116.7373,19,2015-08-25
6278.0547,19,2015-08-26
6436.6475,19,2015-08-27
7424.0146,19,2015-08-28
5177.169,19,2015-08-29
151.73538,19,2015-08-30
12884.208,19,2015-08-31
12205.309,19,2015-09-01
12371.86,19,2015-09-02
11899.33,19,2015-09-03
15249.243,19,2015-09-04
7195.707,19,2015-09-05
465.63678,19,2015-09-06
9986.547,19,2015-09-07
7994.523,19,2015-09-08
7632.0957,19,2015-09-09
7957.986,19,2015-09-10
9244.193,19,2015-09-11
8474.207,19,2015-09-12
716.7959,19,2015-09-13
12967.047,19,2015-09-14
14339.09,19,2015-09-15
13770.167,19,2015-09-16
13649.498,19,2015-09-17
6030.1353,20,2015-08-01
34.732212,20,2015-08-02
13784.146,20,2015-08-03
11608.224,20,2015-08-04
11800.369,20,2015-08-05
12650.93,20,2015-08-06
10707.069,20,2015-08-07
6247.865,20,2015-08-08
267.7123,20,2015-08-09
8832.204,20,2015-08-10
8368.792,20,2015-08-11
8994.309,20,2015-08-12
8360.138,20,2015-08-13
9629.665,20,2015-08-14
576.3073,20,2015-08-15
254.649,20,2015-08-16
9584.135,20,2015-08-17
8450.818,20,2015-08-18
8563.224,20,2015-08-19
9916.816,20,2015-08-20
10339.65,20,2015-08-21
7698.5083,20,2015-08-22
20.550413,20,2015-08-23
8984.739,20,2015-08-24
8773.151,20,2015-08-25
7109.897,20,2015-08-26
7610.49,20,2015-08-27
8454.371,20,2015-08-28
4427.0894,20,2015-08-29
52.166515,20,2015-08-30
15111.625,20,2015-08-31
12577.969,20,2015-09-01
11777.451,20,2015-09-02
13247.577,20,2015-09-03
16744.037,20,2015-09-04
8836.561,20,2015-09-05
9.884725,20,2015-09-06
9756.754,20,2015-09-07
8029.686,20,2015-09-08
6627.8057,20,2015-09-09
7898.1772,20,2015-09-10
12074.702,20,2015-09-11
9264.2,20,2015-09-12
129.48521,20,2015-09-13
14229.003,20,2015-09-14
13630.723,20,2015-09-15
13664.584,20,2015-09-16
16054.319,20,2015-09-17
6444.618,21,2015-08-01
157.2804,21,2015-08-02
9185.286,21,2015-08-03
8489.8545,21,2015-08-04
8967.861,21,2015-08-05
8664.267,21,2015-08-06
9043.973,21,2015-08-07
6591.819,21,2015-08-08
472.24796,21,2015-08-09
6989.031,21,2015-08-10
4881.578,21,2015-08-11
4979.0005,21,2015-08-12
4891.2427,21,2015-08-13
7359.5674,21,2015-08-14
6611.506,21,2015-08-15
558.9546,21,2015-08-16
6136.491,21,2015-08-17
6439.349,21,2015-08-18
6646.278,21,2015-08-19
6437.905,21,2015-08-20
7081.2017,21,2015-08-21
6445.9185,21,2015-08-22
278.79022,21,2015-08-23
6630.709,21,2015-08-24
6643.5776,21,2015-08-25
4915.181,21,2015-08-26
4706.419,21,2015-08-27
6717.1284,21,2015-08-28
4102.9463,21,2015-08-29
621.1038,21,2015-08-30
10929.687,21,2015-08-31
10141.942,21,2015-09-01
8778.687,21,2015-09-02
8577.654,21,2015-09-03
12844.314,21,2015-09-04
7827.04,21,2015-09-05
404.08926,21,2015-09-06
6527.629,21,2015-09-07
5065.7627,21,2015-09-08
3821.5784,21,2015-09-09
4592.1973,21,2015-09-10
7979.3535,21,2015-09-11
10793.495,21,2015-09-12
558.8196,21,2015-09-13
11933.269,21,2015-09-14
12394.103,21,2015-09-15
11266.707,21,2015-09-16
11532.96,21,2015-09-17
3382.5435,22,2015-08-01
-5.733622,22,2015-08-02
7233.2534,22,2015-08-03
6566.6143,22,2015-08-04
6351.444,22,2015-08-05
6769.282,22,2015-08-06
7031.239,22,2015-08-07
3743.3855,22,2015-08-08
288.17044,22,2015-08-09
4036.4514,22,2015-08-10
3854.7363,22,2015-08-11
4294.321,22,2015-08-12
4425.4946,22,2015-08-13
5777.2925,22,2015-08-14
259.84824,22,2015-08-15
229.58421,22,2015-08-16
5930.605,22,2015-08-17
5893.9697,22,2015-08-18
6561.06,22,2015-08-19
6553.2397,22,2015-08-20
8206.786,22,2015-08-21
3895.2532,22,2015-08-22
354.27353,22,2015-08-23
6070.9175,22,2015-08-24
6952.864,22,2015-08-25
5339.2456,22,2015-08-26
5369.34,22,2015-08-27
5904.2124,22,2015-08-28
3981.8855,22,2015-08-29
93.05937,22,2015-08-30
11910.96,22,2015-08-31
9988.852,22,2015-09-01
9836.128,22,2015-09-02
10440.237,22,2015-09-03
13654.439,22,2015-09-04
5762.8936,22,2015-09-05
89.78045,22,2015-09-06
5930.8545,22,2015-09-07
5055.62,22,2015-09-08
4966.6143,22,2015-09-09
5533.8496,22,2015-09-10
8974.215,22,2015-09-11
6415.208,22,2015-09-12
301.72897,22,2015-09-13
13003.807,22,2015-09-14
12538.468,22,2015-09-15
12177.088,22,2015-09-16
12685.674,22,2015-09-17
4482.1274,23,2015-08-01
129.75066,23,2015-08-02
8379.534,23,2015-08-03
6481.578,23,2015-08-04
6985.4683,23,2015-08-05
7292.744,23,2015-08-06
8502.228,23,2015-08-07
5928.7188,23,2015-08-08
217.00742,23,2015-08-09
5908.8877,23,2015-08-10
4693.5063,23,2015-08-11
4721.649,23,2015-08-12
4271.624,23,2015-08-13
5966.8394,23,2015-08-14
5996.1143,23,2015-08-15
385.45215,23,2015-08-16
5617.9883,23,2015-08-17
6212.0386,23,2015-08-18
5462.6836,23,2015-08-19
5412.332,23,2015-08-20
7070.1504,23,2015-08-21
6045.45,23,2015-08-22
270.9522,23,2015-08-23
5295.7563,23,2015-08-24
5793.8164,23,2015-08-25
5238.3877,23,2015-08-26
6173.843,23,2015-08-27
7400.626,23,2015-08-28
5123.5557,23,2015-08-29
411.126,23,2015-08-30
12321.918,23,2015-08-31
12093.866,23,2015-09-01
11283.462,23,2015-09-02
10425.457,23,2015-09-03
15108.289,23,2015-09-04
7798.4844,23,2015-09-05
42.884087,23,2015-09-06
7233.157,23,2015-09-07
7138.8877,23,2015-09-08
4797.9434,23,2015-09-09
5018.4644,23,2015-09-10
9126.908,23,2015-09-11
8197.848,23,2015-09-12
316.59247,23,2015-09-13
12514.403,23,2015-09-14
12756.278,23,2015-09-15
12553.391,23,2015-09-16
12753.688,23,2015-09-17
7782.774,24,2015-08-01
89.611755,24,2015-08-02
14154.242,24,2015-08-03
13774.399,24,2015-08-04
13684.81,24,2015-08-05
13436.684,24,2015-08-06
13848.291,24,2015-08-07
8155.9585,24,2015-08-08
514.5682,24,2015-08-09
9620.889,24,2015-08-10
9795.534,24,2015-08-11
10300.136,24,2015-08-12
9415.72,24,2015-08-13
11009.792,24,2015-08-14
8237.838,24,2015-08-15
704.6865,24,2015-08-16
10847.615,24,2015-08-17
11540.772,24,2015-08-18
10999.726,24,2015-08-19
9996.063,24,2015-08-20
11976.96,24,2015-08-21
8977.816,24,2015-08-22
484.6008,24,2015-08-23
10445.474,24,2015-08-24
10679.505,24,2015-08-25
10082.148,24,2015-08-26
8459.281,24,2015-08-27
11398.832,24,2015-08-28
6360.898,24,2015-08-29
695.54877,24,2015-08-30
16292.637,24,2015-08-31
14802.983,24,2015-09-01
14369.054,24,2015-09-02
13669.062,24,2015-09-03
19385.43,24,2015-09-04
8164.278,24,2015-09-05
712.4166,24,2015-09-06
9954.701,24,2015-09-07
9940.891,24,2015-09-08
9863.836,24,2015-09-09
9612.235,24,2015-09-10
13809.361,24,2015-09-11
11594.685,24,2015-09-12
970.789,24,2015-09-13
14748.904,24,2015-09-14
15574.367,24,2015-09-15
16085.343,24,2015-09-16
16424.746,24,2015-09-17
8892.871,25,2015-08-01
209.45567,25,2015-08-02
14620.318,25,2015-08-03
14017.981,25,2015-08-04
13726.1455,25,2015-08-05
13664.242,25,2015-08-06
13475.011,25,2015-08-07
9025.734,25,2015-08-08
434.1874,25,2015-08-09
10273.861,25,2015-08-10
10355.378,25,2015-08-11
10634.792,25,2015-08-12
10828.556,25,2015-08-13
11034.659,25,2015-08-14
9760.124,25,2015-08-15
344.13748,25,2015-08-16
11498.96,25,2015-08-17
12462.681,25,2015-08-18
12010.127,25,2015-08-19
11497.293,25,2015-08-20
13261.141,25,2015-08-21
10468.696,25,2015-08-22
197.34991,25,2015-08-23
9545.291,25,2015-08-24
10202.427,25,2015-08-25
9214.211,25,2015-08-26
8267.895,25,2015-08-27
12079.593,25,2015-08-28
8663.118,25,2015-08-29
622.3995,25,2015-08-30
13708.958,25,2015-08-31
13355.358,25,2015-09-01
12475.607,25,2015-09-02
11567.987,25,2015-09-03
18330.078,25,2015-09-04
12241.847,25,2015-09-05
770.7793,25,2015-09-06
8344.662,25,2015-09-07
9629.436,25,2015-09-08
8777.889,25,2015-09-09
7475.312,25,2015-09-10
14073.813,25,2015-09-11
13204.058,25,2015-09-12
637.0444,25,2015-09-13
13130.114,25,2015-09-14
13897.335,25,2015-09-15
14168.961,25,2015-09-16
14428.487,25,2015-09-17
6619.7563,27,2015-08-01
525.05585,27,2015-08-02
12967.036,27,2015-08-03
13859.233,27,2015-08-04
13257.344,27,2015-08-05
12757.345,27,2015-08-06
13203.657,27,2015-08-07
6854.811,27,2015-08-08
365.11612,27,2015-08-09
9659.666,27,2015-08-10
8974.913,27,2015-08-11
9953.511,27,2015-08-12
9717.136,27,2015-08-13
9983.837,27,2015-08-14
8188.053,27,2015-08-15
313.05988,27,2015-08-16
10157.176,27,2015-08-17
10879.616,27,2015-08-18
10438.689,27,2015-08-19
9559.76,27,2015-08-20
11727.192,27,2015-08-21
8610.439,27,2015-08-22
-88.88111,27,2015-08-23
9348.748,27,2015-08-24
10063.875,27,2015-08-25
9259.48,27,2015-08-26
8138.687,27,2015-08-27
10662.274,27,2015-08-28
5520.7495,27,2015-08-29
377.4789,27,2015-08-30
16009.497,27,2015-08-31
13220.115,27,2015-09-01
12927.094,27,2015-09-02
12457.299,27,2015-09-03
18733.55,27,2015-09-04
9453.775,27,2015-09-05
526.32654,27,2015-09-06
9815.37,27,2015-09-07
9285.432,27,2015-09-08
9466.027,27,2015-09-09
8763.216,27,2015-09-10
13598.42,27,2015-09-11
9482.558,27,2015-09-12
840.4296,27,2015-09-13
13766.763,27,2015-09-14
14545.96,27,2015-09-15
13616.274,27,2015-09-16
14175.517,27,2015-09-17
7927.2397,29,2015-08-01
-38.946793,29,2015-08-02
11256.91,29,2015-08-03
10346.43,29,2015-08-04
9599.823,29,2015-08-05
9519.97,29,2015-08-06
10369.876,29,2015-08-07
8654.068,29,2015-08-08
505.53262,29,2015-08-09
9019.527,29,2015-08-10
8877.894,29,2015-08-11
8270.171,29,2015-08-12
7902.571,29,2015-08-13
10251.881,29,2015-08-14
9853.573,29,2015-08-15
431.936,29,2015-08-16
8497.796,29,2015-08-17
8950.225,29,2015-08-18
10525.867,29,2015-08-19
7923.6724,29,2015-08-20
10621.143,29,2015-08-21
9707.733,29,2015-08-22
366.48184,29,2015-08-23
